100,-69.55357142857143,-69.51935822192067,-69.8552750726753
10,-51.35087719298246,-51.13608694974423,-51.2447787643577
110,-70.92307692307692,-70.43124259067476,-70.7056699715538
120,-69.08333333333333,-69.02860266157856,-69.0347174310545
130,-72.6078431372549,-72.55792174329598,-73.3391188735428
140,-68.54545454545455,-68.2099154185493,-69.6185878550052
150,-80.25925925925925,-79.65746178611809,-81.5390931907503
160,-67.0,-66.75141417561647,-67.6637448161165
170,-68.59615384615384,-68.3834735599153,-68.2846160961802
180,-68.06,-67.841630975099,-68.4011195639705
190,-72.87931034482759,-72.55414451225555,-72.9007027411867
200,-70.22413793103448,-69.99858684055415,-70.1599317460612
20,-52.12280701754386,-51.99876352505107,-51.2590860291615
210,-68.14035087719299,-67.79535585503392,-68.0421626203565
220,-66.6,-66.30270166688302,-66.4895591436214
230,-72.98181818181818,-72.34499381098777,-73.069583675142
240,-78.42372881355932,-77.97505281016404,-78.6200469865606
250,-70.15686274509804,-69.83039988438146,-70.1368334609566
260,-71.47272727272727,-71.05113949639309,-71.7613004466034
270,-72.0754716981132,-71.72876716226168,-71.7840239562303
280,-71.62745098039215,-71.22656265184737,-71.199618569264
290,-69.8125,-69.12952408007288,-70.7497727251
300,-71.47058823529412,-71.2961718259403,-70.5338429222451
30,-57.310344827586206,-57.100851168192996,-57.1897075974162
310,-74.6078431372549,-74.19612688738091,-74.113796732227
320,-77.59615384615384,-77.16789052863838,-77.5867919838491
330,-77.21818181818182,-76.86367398967002,-76.868197712444
340,-73.0909090909091,-72.90798889890564,-72.5795410659722
350,-78.21818181818182,-77.68864605985524,-78.1867480757298
360,-80.47169811320755,-80.02639941581677,-80.4354887497554
370,-87.8913043478261,-86.94524900033767,-87.9672454751862
380,-78.89655172413794,-78.26024051033558,-79.9929896674758
390,-80.08163265306122,-79.76511217968685,-80.1368275473722
400,-79.44444444444444,-79.00326724481708,-79.8495975114661
40,-61.526315789473685,-61.72079265795973,-60.9887607420038
50,-60.21153846153846,-59.926089314918414,-59.7643808325517
60,-61.12280701754386,-60.93921876695502,-60.8041571917251
70,-59.13333333333333,-58.84691742856919,-58.6613451207037
80,-65.35185185185185,-64.88910439379393,-65.7110691610903
90,-64.81481481481481,-64.81454484579604,-65.7261835406517
